data_pozyskania,zrodlo_ciepla,liczba_zrodel_ciepla,udzial_procentowy
2026-04-14,Kocioł gazowy / bojler gazowy / podgrzewacz gazowy przepływowy / kominek gazowy,4968261,28
2026-04-14,"Kocioł na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy) z automatycznym podawaniem paliwa / z podajnikiem",1391190,8
2026-04-14,"Kocioł na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy) z ręcznym podawaniem paliwa / zasypowy",2874684,16
2026-04-14,Kocioł olejowy,134985,1
2026-04-14,Kolektory słoneczne do ciepłej wody użytkowej lub z funkcją wspomagania ogrzewania,482051,3
2026-04-14,"Kominek / koza / ogrzewacz powietrza na paliwo stałe (drewno, pellet lub inny rodzaj biomasy, węgiel)",1600978,9
2026-04-14,Miejska sieć ciepłownicza / ciepło systemowe / lokalna sieć ciepłownicza,1095371,6
2026-04-14,Ogrzewanie elektryczne / bojler elektryczny,2673530,15
2026-04-14,"Piec kaflowy na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy)",1060887,6
2026-04-14,Pompa ciepła,445156,3
2026-04-14,Trzon kuchenny / piecokuchnia / kuchnia węglowa,836989,5
2026-04-15,Kocioł gazowy / bojler gazowy / podgrzewacz gazowy przepływowy / kominek gazowy,4968261,28
2026-04-15,"Kocioł na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy) z automatycznym podawaniem paliwa / z podajnikiem",1391190,8
2026-04-15,"Kocioł na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy) z ręcznym podawaniem paliwa / zasypowy",2874684,16
2026-04-15,Kocioł olejowy,134985,1
2026-04-15,Kolektory słoneczne do ciepłej wody użytkowej lub z funkcją wspomagania ogrzewania,482051,3
2026-04-15,"Kominek / koza / ogrzewacz powietrza na paliwo stałe (drewno, pellet lub inny rodzaj biomasy, węgiel)",1600978,9
2026-04-15,Miejska sieć ciepłownicza / ciepło systemowe / lokalna sieć ciepłownicza,1095371,6
2026-04-15,Ogrzewanie elektryczne / bojler elektryczny,2673530,15
2026-04-15,"Piec kaflowy na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy)",1060887,6
2026-04-15,Pompa ciepła,445156,3
2026-04-15,Trzon kuchenny / piecokuchnia / kuchnia węglowa,836989,5
2026-04-19,Kocioł gazowy / bojler gazowy / podgrzewacz gazowy przepływowy / kominek gazowy,4968261,28
2026-04-19,"Kocioł na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy) z automatycznym podawaniem paliwa / z podajnikiem",1391190,8
2026-04-19,"Kocioł na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy) z ręcznym podawaniem paliwa / zasypowy",2874684,16
2026-04-19,Kocioł olejowy,134985,1
2026-04-19,Kolektory słoneczne do ciepłej wody użytkowej lub z funkcją wspomagania ogrzewania,482051,3
2026-04-19,"Kominek / koza / ogrzewacz powietrza na paliwo stałe (drewno, pellet lub inny rodzaj biomasy, węgiel)",1600978,9
2026-04-19,Miejska sieć ciepłownicza / ciepło systemowe / lokalna sieć ciepłownicza,1095371,6
2026-04-19,Ogrzewanie elektryczne / bojler elektryczny,2673530,15
2026-04-19,"Piec kaflowy na paliwo stałe (węgiel, drewno, pellet lub inny rodzaj biomasy)",1060887,6
2026-04-19,Pompa ciepła,445156,3
2026-04-19,Trzon kuchenny / piecokuchnia / kuchnia węglowa,836989,5
